1.0975,0
1.00234,24.4
1.00234,24.4
1.00273,24.3
1.00273,24.3
1.00312,24.2
1.00312,24.2
1.00351,24.1
1.0039,24
1.0039,24
1.00429,23.9
1.00468,23.8
1.00468,23.8
1.00507,23.7
1.00546,23.6
1.00546,23.6
1.00585,23.5
1.00585,23.5
1.00624,23.4
1.00624,23.4
1.00624,23.4
1.00663,23.3
1.00663,23.3
1.00702,23.2
1.00702,23.2
1.00702,23.2
1.00741,23.1
1.00741,23.1
1.0078,23
1.0078,23
1.0078,23
1.00819,22.9
1.00819,22.9
1.00819,22.9
1.00858,22.8
1.00819,22.9
1.00819,22.9
1.00819,22.9
1.0078,23
1.00755625,23.0625
1.006946875,23.21875
1.00394875,23.9875
1.000121875,24.96875
0.998366875,25.41875
0.9907375,27.375
0.98435125,29.0125
0.97001875,32.6875
0.9636325,34.325
0.95515,36.5
0.95071375,37.6375
0.9507625,37.625
0.93877,40.7
0.93296875,42.1875
0.926460625,43.85625
0.93043375,42.8375
0.92048875,45.3875
0.924218125,44.43125
0.9084475,48.475
0.906570625,48.95625
0.903596875,49.71875
0.901110625,50.35625
0.89630875,51.5875
0.885535,54.35
0.885364375,54.39375
0.8903125,53.125
0.88090375,55.5375
0.880733125,55.58125
0.883,55
0.8762725,56.725
0.878539375,56.14375
0.868643125,58.68125
0.87325,57.5
0.8612575,60.575
0.853433125,62.58125
0.85682125,61.7125
0.8669125,59.125
0.867863125,58.88125
0.870398125,58.23125
0.86467,59.7
0.864889375,59.64375
0.865474375,59.49375
0.867911875,58.86875
0.8639875,59.875
0.870325,58.25
0.868375,58.75
0.882878125,55.03125
0.8762725,56.725
0.872738125,57.63125
0.87895375,56.0375
0.884925625,54.50625
0.893115625,52.40625
0.896040625,51.65625
0.892165,52.65
0.89874625,50.9625
0.90605875,49.0875
0.910470625,47.95625
0.914175625,47.00625
0.921390625,45.15625
0.930555625,42.80625
0.931189375,42.64375
0.93608875,41.3875
0.944546875,39.21875
0.94423,39.3
0.94388875,39.3875
0.952590625,37.15625
0.96178,34.8
0.972895,31.95
0.9770875,30.875
0.9768925,30.925
0.98206,29.6
0.98844625,27.9625
0.98947,27.7
0.98986,27.6
0.99025,27.5
0.99064,27.4
0.99103,27.3
0.99142,27.2
0.99142,27.2
0.99181,27.1
0.9922,27
0.99259,26.9
0.99298,26.8
0.99298,26.8
0.99337,26.7
0.99376,26.6
0.99415,26.5
0.99415,26.5
0.99454,26.4
0.99493,26.3
0.99532,26.2
0.99571,26.1
0.99571,26.1
0.9961,26
0.99649,25.9
0.99688,25.8
0.99727,25.7
0.99727,25.7
0.99766,25.6
