hour, t(sec), watts, vars
0, 600.00000, 1.82766, 4.47552
0, 1200.00000, 1.84227, 4.48872
0, 1800.00000, 1.76134, 4.40359
0, 2400.00000, 1.84214, 4.49171
0, 3000.00000, 1.78605, 4.43389
1, 0.00000, 1.88026, 4.53619
1, 600.00000, 1.9642, 4.62676
1, 1200.00000, 1.81814, 4.46688
1, 1800.00000, 1.78904, 4.44063
1, 2400.00000, 1.83032, 4.47964
1, 3000.00000, 1.79595, 4.44185
2, 0.00000, 1.69783, 4.34178
2, 600.00000, 1.81649, 4.46245
2, 1200.00000, 1.86224, 4.50375
2, 1800.00000, 1.89637, 4.54555
2, 2400.00000, 1.70324, 4.34747
2, 3000.00000, 1.68042, 4.31873
3, 0.00000, 1.77049, 4.41348
3, 600.00000, 1.68912, 4.32777
3, 1200.00000, 1.68355, 4.3165
3, 1800.00000, 1.76454, 4.40393
3, 2400.00000, 1.82716, 4.47518
3, 3000.00000, 1.80626, 4.44338
4, 0.00000, 1.6931, 4.32133
4, 600.00000, 1.60474, 4.23327
4, 1200.00000, 1.70792, 4.34679
4, 1800.00000, 1.6405, 4.26457
4, 2400.00000, 1.66649, 4.29715
4, 3000.00000, 1.70969, 4.3468
5, 0.00000, 1.64751, 4.28215
5, 600.00000, 1.80262, 4.43623
5, 1200.00000, 1.6263, 4.255
5, 1800.00000, 1.52342, 4.15188
5, 2400.00000, 1.60609, 4.23094
5, 3000.00000, 1.60527, 4.23685
6, 0.00000, 1.62501, 4.26256
6, 600.00000, 1.78511, 4.432
6, 1200.00000, 1.69491, 4.33912
6, 1800.00000, 1.72401, 4.3744
6, 2400.00000, 1.65582, 4.30336
6, 3000.00000, 1.68751, 4.33354
7, 0.00000, 1.71599, 4.35969
7, 600.00000, 1.8669, 4.52694
7, 1200.00000, 2.22717, 4.9066
7, 1800.00000, 2.92997, 5.65779
7, 2400.00000, 4.00888, 6.81636
7, 3000.00000, 5.42742, 8.33954
8, 0.00000, 6.98003, 9.9958
8, 600.00000, 8.44776, 11.6008
8, 1200.00000, 10.3043, 13.5976
8, 1800.00000, 12.1302, 15.5157
8, 2400.00000, 15.4806, 19.029
8, 3000.00000, 19.534, 23.2989
9, 0.00000, 22.9111, 26.8171
9, 600.00000, 27.0303, 31.3086
9, 1200.00000, 31.1584, 35.8014
9, 1800.00000, 35.3916, 40.27
9, 2400.00000, 38.8174, 43.794
9, 3000.00000, 44.4034, 49.5999
10, 0.00000, 47.4839, 52.9056
10, 600.00000, 50.4805, 56.1028
10, 1200.00000, 51.7064, 57.3202
10, 1800.00000, 52.6107, 58.2871
10, 2400.00000, 51.745, 57.3697
10, 3000.00000, 50.645, 56.1661
11, 0.00000, 49.7407, 55.132
11, 600.00000, 49.925, 55.3966
11, 1200.00000, 50.8511, 56.4955
11, 1800.00000, 51.8196, 57.3685
11, 2400.00000, 50.4197, 55.8865
11, 3000.00000, 52.6599, 58.2151
12, 0.00000, 53.2957, 58.8509
12, 600.00000, 51.486, 56.8922
12, 1200.00000, 49.6166, 54.8747
12, 1800.00000, 46.4784, 51.6136
12, 2400.00000, 50.8047, 56.1396
12, 3000.00000, 51.0736, 56.5091
13, 0.00000, 48.6164, 53.9019
13, 600.00000, 46.0879, 51.3492
13, 1200.00000, 45.6135, 50.9684
13, 1800.00000, 47.4981, 52.8485
13, 2400.00000, 47.2351, 52.5429
13, 3000.00000, 45.1932, 50.3818
14, 0.00000, 42.1751, 47.2205
14, 600.00000, 40.764, 45.8422
14, 1200.00000, 35.6129, 40.4145
14, 1800.00000, 32.4784, 37.0432
14, 2400.00000, 34.0236, 38.6753
14, 3000.00000, 34.2196, 38.9566
15, 0.00000, 35.5363, 40.3864
15, 600.00000, 36.1192, 41.0369
15, 1200.00000, 34.585, 39.374
15, 1800.00000, 37.2774, 42.0916
15, 2400.00000, 36.476, 41.2442
15, 3000.00000, 35.7346, 40.6031
16, 0.00000, 35.535, 40.4009
16, 600.00000, 32.415, 37.1377
16, 1200.00000, 29.2319, 33.7666
16, 1800.00000, 24.9571, 29.0867
16, 2400.00000, 22.5181, 26.4682
16, 3000.00000, 20.8663, 24.6859
17, 0.00000, 18.6102, 22.3416
17, 600.00000, 17.5122, 21.2683
17, 1200.00000, 14.6388, 18.1811
17, 1800.00000, 12.0947, 15.4883
17, 2400.00000, 10.9611, 14.2432
17, 3000.00000, 9.83745, 13.0175
18, 0.00000, 8.87431, 11.9739
18, 600.00000, 7.5547, 10.5527
18, 1200.00000, 5.81124, 8.66379
18, 1800.00000, 5.48312, 8.31862
18, 2400.00000, 5.06038, 7.8539
18, 3000.00000, 4.2547, 6.99318
19, 0.00000, 3.3083, 5.99982
19, 600.00000, 2.92808, 5.61216
19, 1200.00000, 2.81188, 5.50243
19, 1800.00000, 2.79986, 5.4901
19, 2400.00000, 2.81629, 5.51272
19, 3000.00000, 2.8699, 5.56371
20, 0.00000, 2.96703, 5.66802
20, 600.00000, 2.95648, 5.65788
20, 1200.00000, 2.89114, 5.58505
20, 1800.00000, 2.74405, 5.43317
20, 2400.00000, 2.63804, 5.32746
20, 3000.00000, 2.58747, 5.27075
21, 0.00000, 2.55087, 5.22867
21, 600.00000, 2.45135, 5.12164
21, 1200.00000, 2.41937, 5.08291
21, 1800.00000, 2.48859, 5.15159
21, 2400.00000, 2.46048, 5.12792
21, 3000.00000, 2.38857, 5.05306
22, 0.00000, 2.44668, 5.11603
22, 600.00000, 2.48004, 5.14744
22, 1200.00000, 2.33794, 4.99937
22, 1800.00000, 2.40877, 5.07362
22, 2400.00000, 2.63494, 5.30678
22, 3000.00000, 2.47743, 5.15012
23, 0.00000, 2.37038, 5.03458
23, 600.00000, 2.47456, 5.14505
23, 1200.00000, 2.60512, 5.28753
23, 1800.00000, 2.61936, 5.30777
23, 2400.00000, 2.51891, 5.19562
23, 3000.00000, 2.45172, 5.11934
24, 0.00000, 2.09904, 4.75857
